s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,representation,representation_semi,kinetic,map,map2,spatial_dimension,spatial_dimension2,pl,si,va,te,co,or,sh,reflection,po,li,ar,notes
238,Juan de Flandes ,The Ascension,representation,Prado Museum,12,0,1,"1, oil on pine panel",110 x 84 cm,1514,1,0,0,0,0,0,1,5,0,2,0,0,0,4,0,0,3,5,"bottom of (cutoff) figure going into cloud, people looking up, focus on foot5s on rock & on feet, unnaturalness of top part"
239,Lucas Cranach the Elder,CacerМ_a en el castillo de Torgau en honor de Fernando I,representation,Prado Museum,5,0,1,"1, oil on panel",118 x 177 cm,1545,1,0,0,0,0,0,1,4,2,1,0,0,1,4,0,0,5,5,"stags in river, antlers, archers behind trees, moving figures, teeming w/ activity, unusual space, use of bridge, swirling water"
226,Pieter Bruegel ‰ЫПThe Elder‰Ыќ ,The Wine of Saint Martin's Day,representation,Prado Museum,20,0,1,"1, glue-size on twill",148 x 271 cm,1566,1,0,0,0,0,0,1,4,0,0,0,0,1,3,0,3,3,5,"grouping of figures on top of red container reaching in, may not be uncertainty but chaotic grouping of figures in one area of the 1 is interesting"
240,El Greco (Domenikos Theotokopoulos),The Vision of Saint John,representation,Met Museum,19,0,1,"1, oil on canvas",225 x 199 cm,1609,1,0,0,0,0,0,0,2,1,3,2,3,1,4,0,0,5,5,"elongated figure w/ arms in air, gesture, specific use of color, swirling sky & robes w/ internal shapes that relate closely to figures, use of outlines around figures"
227,Herman Van Vollenhoven,Still Life with Game Fowl,representation,Prado Museum,20,0,1,"1, oil on panel",26 x 36 cm,1625,1,0,0,0,0,0,0,3,0,2,1,0,4,2,0,3,3,5,"dead birds, sideways & upside down, may not be uncertainty but grouping dead birds, two partly unside down, dark values"
228,Claes Claesz Wou,Ships in a Storm,representation,Prado Museum,20,0,1,"1, oil on panel",37 x 56 cm,1633,1,0,0,0,0,0,1,2,0,3,0,1,5,3,0,0,5,5,"tilt of ship, size of waves, darkness of water"
229,Jacob Peeter Gowy,The Fall of Icarus,representation,Prado Museum,12,0,1,"1, oil on canvas",195 x 180 cm,1636,1,0,0,0,0,0,1,3,2,1,0,1,5,4,0,0,5,5,"upside down angle of falling figure to ground, accentuated w/ red cloth, wispy wing feathers (compared to figure on left), large size of figures against deep landscape space & movement of water"
230,Simon de Vlieger ,Forest,representation,Prado Museum,20,0,1,"1, oil on panel",61 x 61 cm,1640,1,0,0,0,0,0,1,2,0,4,0,1,4,4,0,0,5,5,"angle of ground & trees, blowing leaves, storm-like tones, again weather-wind, blowing trees, dark foreboding"
233,Charles-Joseph Flipart ,"Disordered Table with a trompe l‰ЫЄoeil of 1s, a Hurdy-gurdy, Books and other Objects",representation,Prado Museum,4,0,1,"1, oil on canvas",91 x 171 cm,1779,1,0,0,0,0,0,0,4,0,1,0,0,4,2,0,0,3,5,"sketch for 1, unusual display of overlapping objects facing different ways, layers of 1s & objects; great title"
8,Thomas Barker of Bath,The Woodman and his Dog in a Storm ,representation,Tate,9,0,1,"1, oil on canvas",236 x 149 cm,1787,1,0,0,0,0,0,0,2,0,4,1,0,4,1,0,0,0,5,"dark values, both pairs of eyes fixed on object out of canvas"
38,FranМ¤ois Louis Thomas Francia,A Shipwreck ,representation,Tate,4,0,1,"1, watercolour on paper",19 x 28 cm,1800,1,0,0,0,0,0,1,4,0,1,1,0,2,4,0,0,0,5,"uncertainty in terms of content, will the people on the ship survive"
234,Francisco de Goya y Lucientes ,The 3rd of May 1808 in Madrid or ‰ЫПThe Executions‰Ыќ,representation,Prado Museum,34,0,1,"1, oil on canvas",268 x 347 cm,1814,1,0,0,0,0,0,1,4,0,4,0,2,2,4,0,0,5,5,"dark sky, white shirt of man w/ outstretched arms, acents of light & color related to content, may be less uncertainty, but tension heightened by use of light to focus on the heroes, sense of a moment caught "
235,Francisco de Goya y Lucientes ,Asmodea,representation,Prado Museum,34,0,1,"1, mixed method on mural transferred to canvas",127 x 263 cm,1820,1,0,0,0,0,0,1,4,4,3,0,1,1,3,0,0,0,5,"2 large figures painted hovering above scene, luminous sky, relative sizes, antigravity, use of light"
100,John Everett Millais,Ophelia ,pre-raphaelite,Tate,9,0,1,"1, oil on canvas",76 x 112 cm,1852,1,0,0,0,0,0,1,4,0,0,0,0,3,3,0,0,0,5,"figure lying in water, realistic paint handling, iconic image, uses representation to convey meaning"
198,James Abbott McNeill Whistler,Nocturne: Blue and Silver - Cremorne Lights,representation,Tate,9,0,1,"1, oil paint on canvas",50 x 74 cm,1872,1,0,0,0,0,0,1,2,0,4,3,4,0,4,0,3,3,5,"emptiness, hard to read shape in river, high horizon, sense of depth, use of color"
383,Paul CМ©zanne,House Among Trees,,MoMA,4,0,1,"1, watercolor & pencil on paper",28 x 44 cm,1900,1,0,0,0,0,0,0,2,0,4,3,1,0,2,0,0,5,5,"grouped into areas, parts unpainted, light washes, sense of light from lower left to upper right, changing the volumes on the objects; watercolors, markmaking, liquid, curved lines, volumes, large amount unpainted, very light values, semi transparent colors over each other, multiple parallel lines finding parts of outlines of shapes, searching quality"
22,Georges Braque,Bottle and Fishes,cubism,Tate,4,0,1,"1, oil on canvas",62 x 75 x 2 cm,1910,0,1,0,0,0,0,1,3,0,4,3,0,3,4,0,0,5,5,"multiple thick parallel lines w/ specific create angular shapes/planes, different orientations, can't quite read where the end of one object is & beginning of another, split up space, strong values w/ wide range w/in each facet/plane"
382,Georges Braque,Man With a Guitar,cubism,MoMA,4,0,1,"1, oil on canvas",116 x 81 cm,1912,0,1,0,0,0,0,0,4,2,4,3,0,4,3,0,3,5,5,"repetition of lines, grouped into shapes, angled darker lines in different orientations, sense of moving planes, dark somber colors overall w/ darker sections w/ a lot of depth & tonal variation, parallel brushstrokes"
373,Giacomo Balla,Swifts: Paths of Movement + Dynamic Sequences,futurism,MoMA,6,0,1,"1, oil on canvas",97 x 120 cm,1913,0,0,0,0,0,0,1,3,1,3,0,2,3,4,0,0,5,5,"curved parallel lines & areas, faceted, specific repeated shapes together create larger areas, movement, semi-transparent, inspired by photographic studies of animal locomotion, tries to depict dynamic sensation, speed"
2,Giorgio de Chirico,The Uncertainty of the Poet ,surrealism,Tate,6,0,1,"1, oil on canvas",106 x 94 cm,1913,1,0,0,0,0,0,0,2,2,3,0,0,4,3,0,0,0,5,"distorted perspective, shadow, signification of objects, emptiness. relative sizes"
378,Juan Gris,Breakfast,cubism,MoMA,4,0,1,"1, gouache, oil, & crayon on cut-&-pasted 5ed paper on canvas w/ oil & crayon",81 x 60 cm,1914,1,0,0,0,0,0,0,4,0,1,0,0,4,3,0,0,3,5,"juxtaposition, papier collМОе©, sharp divisions in different planes, shading, hard to tell where things are in space or what is actually there, are items repeated twice?, things which are behind seem to end up on top"
371,Vasily Kandinsky,Panel for Edwin R. Campbell No. 4,,MoMA,4,0,1,"1, oil on canvas",163 x 123 cm,1914,0,0,0,0,0,0,1,1,4,1,1,2,4,3,0,5,5,5,"elements at an angle to the rectangle, ""nonobjective 1"", association w/ music, swirling, busy composition, a lot of small w/ larger objects/shapes, leaning grouped lines, different orientations, specific colors, tones, almost suggests a moving vortex w/ multiple elements, small parallel brusy paintmarks create uneven, jagged edges of objects & smear colors into each other in some parts"
80,Kazimir Malevich,Suprematism ,suprematism,Tate,33,0,1,"1, oil on canvas",88 МОМФ 72 cm,1915,0,0,0,0,0,0,0,4,1,0,0,0,4,4,0,0,0,5,"placement of different shapes at different angles, balance, spaces suggests movement"
377,Natalia Goncharova,Composition,,MoMA,33,0,1,"1, watercolor on paper",28 x 20 cm,1920,1,0,0,0,0,0,1,3,1,3,0,0,5,3,0,3,3,5,"steep angle of image to picture plane, parallel repeated images at very steep angle as if they are slipping off the 1, top part is in browns only (reflected / sky?), descriptions are on multi-islands, partly connected, unusual orientation for landscape, some brushmarks mark edge of shapes, some more liquid areas merge a little"
34,Max Ernst,Celebes ,surrealism,Tate,5,0,1,"1, oil on canvas",125 x 108 cm,1921,1,0,0,0,0,0,0,4,0,0,1,0,0,4,0,0,0,5,"ambiguous -combination of objects together, fish at top in 'sky' etc"
369,Edward Hopper ,House by the Railroad,,MoMA,1,0,1,"1, oil on canvas",61 x 74 cm,1925,1,0,0,0,0,0,0,0,0,4,0,3,0,4,0,0,3,5,"isolated building, blank windows, moody colors, empty, quiet, eerie, some windows seem blank, no belongings in sight"
101,Joan Miro,1 ,surrealism,Tate,34,0,1,"1, tempera & oil on canvas",97 x 130 cm,1927,0,0,0,0,0,0,0,3,2,1,1,2,0,5,0,0,5,5,"specific enigmatic shapes, outlines suspended on blue ground, surreal shapes & space, hard to fully tell what these are and how they relate"
170,Stanley Spencer,"The Resurrection, Cookham ",representation,Tate,9,0,1,"1, oil on canvas",274 x 549 cm,1927,1,0,0,0,0,0,1,4,0,0,0,0,4,4,0,0,0,5,"strange perspective & odd viewpoints, scale shifts, figures depicted coming out of coffins"
175,Yves Tanguy,The Mood of Now ,surrealism,MoMA also Tate,4,0,1,1 oil on canvas,100 x 73 cm,1928,0,1,0,0,0,0,1,3,1,2,3,0,0,4,0,0,3,5,"out of focus ground w/ hard to decipher shapes on top, mixture of sharp focus & smeared, shadow, some objects more in focus than others"
79,RenМ© Magritte,Man with a Newspaper ,surrealism,Tate,12,0,1,"1, oil on canvas",116 x 81 cm,1928,1,0,0,0,0,0,1,5,0,1,0,0,0,3,0,0,0,5,"what is going on? 4 panels - multiple, repeated scene, w/, w/out figure - disquietening. Placement vital here in a literal way."
389,Salvador DalМ_ ,The Persistence of Memory,surrealism,MoMA,34 ,0,1,"1, oil on canvas",24 x 33 cm,1931,1,0,0,0,0,0,1,3,1,1,0,1,0,4,0,3,3,5,"""hand painted dream photographs,"" hard objects become inexplicably limp, time bends, metal attracts ants like rotting flesh, juxtaposition of objects in landscape, 3 limp clock faces, is that a head sleeping w/ long eyelashes"
190,Alfred Wallis,The Hold House Port Mear Square Island Port Mear Beach,,Tate,9,0,1,"1, oil paint on board",31 x 39 cm,1932,1,0,0,0,0,0,1,2,1,0,0,0,4,3,0,0,3,5,"perspective tipped up, scale shifts, topographically inaccurate, placing of elements & unusual space"
109,Winifred Nicholson,Quarante Huit Quai d‰ЫЄAuteuil ,modernism,Tate,9,0,1,"1, oil on board",68 x 100 cm,1935,0,0,0,0,0,0,0,4,4,3,0,0,1,4,0,0,3,5,"very light in tone, few shapes, precisely placed, vary in size, hard to tell orientation or what this refers to "
51,Stanley William Hayter,Ophelia,abstraction,Tate,9,0,1,"1, oil, casein tempera & gesso on canvas",100 x 145 cm,1936,0,0,0,0,0,0,0,4,4,0,0,0,2,4,0,0,3,5,"placing of particular color shapes & lines, odd, multiple viewpoints, sizes, can't tell what things are, where they are in space"
123,Pablo Picasso,Guernica ,cubism,Museo Reina SofМ_a,34,0,1,"1, oil on canvas",349 x 777 cm,1937,1,0,0,0,0,0,1,2,0,1,0,0,0,5,0,0,5,5,"collage of fragments, representational w/ distortions, light on dark, ground & figures align, pain shown on faces, representational but overall hard to decipher, only small parts are shown"
105,Paul Nash ,Landscape from a Dream ,surrealism,Tate,9,0,1,"1, oil on canvas",68 x 102 cm,1938,1,0,0,0,0,0,1,4,2,0,0,0,0,4,0,0,0,5,"strange combination of odd objects, repeating images, reflection, space, iconography"
64,Frank Humphrey Sinkler Jennings,Swiss Roll ,,Tate,9,0,1,"1, oil paint on canvas on board",35 x 45 cm,1939,1,0,0,0,0,0,1,5,2,1,0,0,0,2,0,0,0,5,"suggested movement of falling object painted in air in front of landscape, gravity, strange combination. Placement of swiss roll and its large size in relation to mountain landscape creates sense of gravity. "
174,Graham Sutherland ,Entrance to a Lane ,,Tate,9,0,1,1 oil on canvas,61 x 51 cm,1939,1,0,0,0,0,0,1,3,1,3,0,2,0,4,0,3,5,5,"spaces created w/ dark shapes, specific, odd, particular, curved semi-abstract shapes, ambiguity, specific colors"
125,John Piper,Seaton Delaval ,representation,Tate,9,0,1,"1, oil paint on canvas on wood",71 x 88 cm,1941,1,0,0,0,0,0,0,0,0,5,3,0,1,3,0,0,5,5,"dark, outlined buildings, indeterminate space, scratching on surface, searching, querying use of line"
150,Leonard Rosoman,Bomb Falling into Water ,representation,Tate,9,0,1,"1, oil on canvas",64 x 76 cm,1942,1,0,0,0,0,0,1,4,1,4,3,0,2,3,0,5,3,5,"energetic paint handling, composition divided by light areas, layers creating space, hard to tell what this is"
45,Arshile Gorky,Untitled,abstraction,Cleveland Museum of Art,1,0,1,"1, oil & graphite on canvas",50 x 64 cm,1944,0,1,0,0,0,0,1,2,2,4,4,0,2,4,0,0,3,5,"quality of thin paint, wash, shapes, drips, areas of bare canvas, handdrawn gestures"
364,Clyfford Still ,1944-N No. 2,abstract expressionism,MoMA,1,0,1,"1, oil on canvas",265 x 221 cm,1944,0,0,0,0,0,0,0,2,3,4,2,2,1,4,0,0,3,5,"space & angular shapes & mostly black 'ground', jagged off center lines, dark space, some lines are vertical, one long one runs across and plunges down the canvas, balanced by small green on right, insistent, black marks show, large canvas, what is this, striking, particular shapes against immense of dark ground"
153,Mark Rothko,Untitled ,abstract expressionism,MoMA also Tate,1,0,1,"1, watercolor & gouache on paper",55 x 76 cm,1945,0,0,0,0,0,0,1,4,0,1,2,0,0,4,0,3,5,5,"painted lines & shapes semi-abstract, surreal, probably scratching into surface, searching line, suggested deep space in his work in general, murky edges of shapes"
360,Mark Rothko ,No. 5/No. 24,abstract expressionism,MoMA,1,0,1,"1, oil on canvas",86 x 128 cm,1948,0,0,0,0,0,0,1,2,2,4,4,4,0,4,0,0,3,5,"floating shapes, shapes almost hovering, orange / siena ground creates vibrant contrast w/ values, varied particular shapes but hard to tell what they allude to, all sited underneath light brown shape extending horizontally 1/3 way down canvas, textural thin brushmarks"
128,Jackson Pollock,Yellow Islands,abstract expressionism,Tate,1,0,1,"1, oil on canvas",144 x 185 cm,1952,0,0,0,0,0,0,1,3,0,0,2,0,4,4,0,0,5,5,"overlapping, dripping paint, gravity & different paint thicknesses, 1 on the ground from all sides, not touching the canvas, ambiguity, some hesitancy"
6,Joseph (Jef) Banc,Pair-Bearing Matrix ,abstraction,Tate,4,0,1,"1, mixed media on canvas",73 x 60 cm,1956,0,0,0,0,0,0,0,1,0,1,4,1,0,4,0,0,0,5,"ambiguity through abstraction, odd shape, v textural"
39,Sam Francis,1 ,abstraction,Tate,1,0,1,"1, watercolour on paper",63 x 49 cm,1957,0,0,0,0,0,0,0,2,0,2,4,0,2,4,0,0,5,3,"uncertainty in terms of handling of paint, tentative, drips"
352,Forrest Bess,Untitled,,MoMA,1,0,1,"1, oil on canvas with wood frame",25 x 36 cm,1957,0,1,0,0,0,0,1,4,2,2,1,3,4,4,0,0,5,5,"line suspended into empty space, illusion of deep recession, line w/ 2 half stripes on it - train tracks - curved, suspended, gets smaller, going into empty space / setting sun above the horizon"
65,Asger Jorn,Letter to my Son ,COBRA,Tate,18,0,1,"1, oil on canvas",130 x 196 cm,1957,1,0,0,0,0,0,0,1,0,0,4,2,0,2,0,0,5,3,"paint drawn w/ energetic line, agitated painted marks"
185,Victor Vasarely,Vega ,op art,Wide Walls also Tate,21 ,0,1,"1, acrylic on canvas",195 x 130 cm,1957,0,0,0,0,0,0,1,3,1,2,0,0,2,4,0,0,0,5,"morphs surface using repeated b&w tile shapes, surface doesn't look flat"
5,Gillian Avery,Distillation,abstraction,Tate,9,0,1,"1, oil, household paint on hardboard",213 x 152 cm,1957,0,0,0,0,0,0,1,4,3,1,2,0,2,4,0,0,0,5,"shapes, layers, paint handlng/texture, orientation/placement/decreasing size descending down to left bottom of canvas; abstract, ambiguous"
178,Mark Tobey,Northwest Drift,abstraction,Tate,1,0,1,"1, tempera & gouache on paper on board",114 x 91 cm,1958,0,0,0,0,0,0,0,3,3,4,3,1,4,4,0,0,5,5,"overlaying of small similar paint marks on surface, repetition, composed of multiple small & interwoven brush strokes"
4,Milton Avery,Yellow Sky ,modernism,Tate,1,0,1,"1, oil on canvas",156 x 184 cm,1958,1,0,0,0,0,0,0,3,0,2,4,4,2,4,0,0,0,5,"flatish, textured shapes & specific colors-linked to distortion of landscape. Early Moderism, little less about uncertainty, more to do w/ ambiguity"
140,Judit Reigl,Center of Dominance,, judit-reigl.com also Tate,21,0,1,"1, oil on canvas",190 x 220 cm,1958,0,0,0,0,0,0,1,3,3,1,4,0,4,3,0,0,5,5,"thick textural lines, swirl in space, empty space, indeterminate depth, sense of circular movement, different length lines"
17,Sandra Blow,Space and Matter ,abstraction,Tate,9,0,1,"1, oil on hardboard",152 x 123 cm,1959,0,0,0,0,0,0,1,4,0,1,4,0,1,4,0,0,3,5,"uncertain shapes, textures & spaces, overlapping, different scales, brush marks & handdrawn lines"
72,Peter Lanyon,Thermal ,abstraction,Tate,9,0,1,"1, oil on canvas",183 x 152 cm,1960,0,0,0,0,0,0,1,3,0,3,4,0,0,1,0,0,5,5,"overlayered paint, scraped surface, lines & marks from different directions, markmaking, sense of material, hard to tell what things are"
405,Gillian Avery,Break-off ,abstraction,Tate,9,0,1,"1, oil on canvas",152 x 305 cm,1961,0,0,0,0,0,0,0,2,1,1,4,1,0,2,0,3,5,5,"shapes placed separately on ground, vary in size, sense of liquid paint, shapes & lines bleed / merge, ambiguity through abstraction, shapes are somewhat moorless & float in relation to each other, what is the space, but less about uncertainty"
141,Ad Reinhardt,Abstract 1 No. 5,abstract expressionism,Tate,1,0,1,"1, oil on canvas",152 x 152 cm,1962,0,0,0,0,0,0,1,0,0,5,2,0,0,3,0,0,0,5,"is this all black or are there any shapes or layers underneath? way dark color is painted, sense of depth. display caption says ""underlying grid of different coloured squares divided by a green central horizontal band"""
20,Derek Boshier ,The Identi-Kit Man ,pop art,Tate,9,0,1,"1, oil on canvas",183 x 183 cm,1962,1,0,0,0,0,0,0,4,4,1,2,0,1,4,0,0,3,5,"more about ambiguity, collage effect, different sizes, collage combinations, hard to understand"
49,Hans Hartung,T1963-R6,abstraction,Tate,5,0,1,"1, acrylic on canvas",180 x 141 cm,1963,0,0,0,0,0,0,0,4,0,2,4,2,2,2,0,0,5,3,"markmaking, scratched into paint in particular area, looks like hair, but image doesn't seem to be head, haunting"
355,Philip Guston,Untitled,,MoMA,1,0,1,"1, synthetic polymer paint on paper",76 x 102 cm,1963,0,0,0,0,0,0,0,2,0,2,3,2,3,4,0,0,5,3,"overlayering, cross hatching, smudging, hard to tell what the 2+ shapes are, they are partly being encroached on by brushstrokes, overlaid space, 1 doesn't go to edge, energetic thick brushstrokes, space inbetween brushstrokes so ground and shapes are not solid"
63,Tess Jaray,Cupola Blue ,abstraction,Karsten Schubert Gallery,9,0,1,"1, oil on canvas",183 МОМФ 152 cm,1963,0,1,0,0,0,0,1,2,0,0,0,0,5,2,0,0,5,5,"repetition, close to mirror image, hard to tell what the exact space is"
145,Bridget Riley,Fall ,op art,Tate,9,0,1,"1, polyvinyl acetate paint on hardboard",141 x 140 cm,1963,0,0,0,0,0,0,1,4,2,3,0,0,4,4,0,0,5,0,"parallel curved lines to create undulations, field of varying optical frequencies"
